Work Order,Description,Work Type,Location
WDW1135373,Vehicle linkage devices - Automatic coupler - Service,CM,707024
WDW1135372,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135371,SC_Power dissipation - Low resistance equipotential bonding - Examine,CM,707024
WDW1135370,"BLOCK_01 - Misc Tasks, Exam B23C",CM,707024
WDW1135369,EXAM_Cl707 B23C - Couplers,CM,707024
WDW1135368,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135367,Power conversion - DC container air-suction filter - Inspect,CM,707024
WDW1135366,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135365,Pneumatic/hydraulic equipment - Compressor air filter - Replace,CM,707024
WDW1135364,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135363,Pneumatic/hydraulic equipment - Compressor cooler - Clean,CM,707024
WDW1135362,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135361,Pneumatic/hydraulic equipment - Air supply unit compressor - Inspect and Test,CM,707024
WDW1135360,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135359,Pneumatic/hydraulic equipment - Air supply unit safety valves - Replace,CM,707024
WDW1135358,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135357,Brake components - Air filter strainer-element (B01) - Clean,CM,707024
WDW1135356,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135355,HR_Running Gear - Bogies - Inspect,CM,707024
WDW1135354,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135353,Carbody - Underframe - Inspect,CM,707024
WDW1135352,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135351,HR_Running gear - Wheel condition - Inspect,CM,707024
WDW1135350,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135349,HR_Running gear - Wheel profile gauging - Inspect,CM,707024
WDW1135348,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135347,Power supply - Shoe collector assembly- Inspection,CM,707024
WDW1135346,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135345,Complete vehicle - Post works interior - Examine,CM,707024
WDW1135344,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135343,Complete vehicle - Post works exterior - Examine,CM,707024
WDW1135342,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135341,Bogies - Flange lubrication - Service,CM,707024
WDW1135340,"BLOCK_02 - Prep, Exam B23B",CM,707024
WDW1135339,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135338,Power conversion - DC container air-suction filter - Inspect,CM,707024
WDW1135337,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135336,Pneumatic/hydraulic equipment - Compressor air filter - Replace,CM,707024
WDW1135335,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135334,Pneumatic/hydraulic equipment - Compressor cooler - Clean,CM,707024
WDW1135333,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135332,Pneumatic/hydraulic equipment - Air supply unit compressor - Inspect and Test,CM,707024
WDW1135331,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135330,Pneumatic/hydraulic equipment - Air supply unit safety valves - Replace,CM,707024
